Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Thanasis Antetokounmpo,SF,28,MIL,28,0,8.6,1.0,1.7,.596,0.1,0.3,.222,0.9,1.4,.684,.617,0.2,0.5,.462,1.0,1.1,2.0,0.6,0.3,0.2,0.7,1.2,2.3
Carmelo Anthony,PF,36,POR,37,3,25.8,5.0,12.0,.415,1.8,4.7,.382,3.2,7.3,.437,.490,2.5,2.9,.858,0.6,2.8,3.4,1.6,0.9,0.8,1.1,2.2,14.2
Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
OG Anunoby,SF,23,TOR,23,23,33.4,5.0,10.3,.479,2.1,5.4,.395,2.8,5.0,.570,.582,1.7,2.3,.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8
Ryan Arcidiacono,PG,26,CHI,20,0,10.8,1.1,2.7,.389,0.6,1.8,.314,0.5,1.0,.526,.491,0.4,0.5,.889,0.1,1.7,1.8,1.3,0.3,0.0,0.3,0.9,3.1
D.J. Augustin,PG,33,MIL,36,6,19.4,1.9,5.2,.367,1.3,3.5,.381,0.6,1.7,.339,.495,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.6,0.0,0.9,0.8,6.2
Deni Avdija,SF,20,WAS,33,17,22.2,2.4,5.5,.436,1.1,3.1,.347,1.3,2.4,.550,.533,0.3,0.6,.579,0.4,4.3,4.7,1.3,0.7,0.2,0.8,2.6,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,C,22,PHO,37,37,30.8,6.2,10.4,.597,0.1,0.5,.235,6.1,9.9,.614,.603,1.8,2.5,.720,3.4,7.9,11.2,1.6,0.4,1.1,1.7,3.1,14.4
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,39,26,25.2,3.8,9.5,.404,1.1,3.1,.339,2.8,6.4,.435,.459,1.8,2.1,.852,0.3,2.6,2.9,1.1,0.6,0.1,0.7,1.6,10.5
Marvin Bagley III,PF,21,SAC,36,36,26.0,5.6,11.3,.499,0.9,2.6,.362,4.7,8.7,.540,.541,1.7,3.0,.560,2.5,5.1,7.6,1.0,0.5,0.5,1.4,2.5,13.9
LaMelo Ball,PG,19,CHO,37,17,28.9,5.7,12.7,.449,2.1,5.4,.387,3.6,7.3,.494,.531,2.3,2.8,.808,1.5,4.6,6.1,6.4,1.6,0.4,2.9,2.7,15.8
Lonzo Ball,PG,23,NOP,36,36,31.4,5.2,12.2,.425,3.0,7.7,.388,2.2,4.4,.488,.548,0.9,1.2,.767,0.6,3.6,4.2,5.2,1.3,0.6,2.0,2.0,14.3
Mo Bamba,C,22,ORL,20,0,10.2,2.0,4.0,.488,0.4,1.4,.286,1.6,2.6,.596,.538,0.4,0.7,.571,1.1,3.0,4.1,0.3,0.2,0.9,0.4,1.4,4.7
Desmond Bane,SG,22,MEM,31,9,22.9,3.6,7.5,.485,1.8,3.9,.451,1.9,3.6,.523,.603,0.8,0.9,.889,0.4,2.5,2.9,1.3,0.7,0.1,1.1,2.0,9.8
Harrison Barnes,PF,28,SAC,35,35,35.7,5.6,11.4,.492,1.6,4.3,.376,4.0,7.1,.562,.563,3.9,4.7,.823,1.0,5.2,6.2,3.5,0.8,0.2,1.5,1.4,16.7
RJ Barrett,SG,20,NYK,39,39,33.1,6.5,14.4,.452,1.2,3.4,.359,5.3,11.1,.480,.494,2.8,3.9,.730,1.2,4.7,5.9,2.9,0.7,0.2,1.9,2.6,17.1
Will Barton,SF,30,DEN,35,31,30.1,4.7,10.5,.448,1.7,4.3,.403,3.0,6.2,.479,.530,1.1,1.5,.750,0.6,3.4,4.0,3.1,0.8,0.4,1.7,1.6,12.2
Keita Bates-Diop,SF,25,SAS,16,0,7.4,0.7,2.0,.344,0.3,0.9,.333,0.4,1.1,.353,.422,0.4,0.6,.700,0.3,0.9,1.3,0.4,0.4,0.1,0.1,0.3,2.1
Nicolas Batum,SF,32,LAC,37,37,28.8,3.1,6.5,.471,1.9,4.4,.432,1.2,2.2,.550,.616,0.8,1.0,.833,0.9,3.8,4.7,2.3,1.2,0.4,0.8,1.7,8.9
Aron Baynes,C,34,TOR,36,29,19.7,2.6,6.3,.422,0.6,2.1,.260,2.1,4.1,.507,.467,0.5,0.7,.750,1.8,3.8,5.6,1.0,0.3,0.4,0.9,2.3,6.3
Kent Bazemore,SF,31,GSW,37,1,16.6,2.3,4.9,.470,1.1,2.6,.421,1.2,2.4,.523,.579,0.7,1.0,.722,0.4,2.5,2.9,1.6,0.8,0.5,1.1,2.2,6.4
Darius Bazley,PF,20,OKC,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
Bradley Beal,SG,27,WAS,34,34,35.5,11.2,23.5,.478,2.2,6.8,.329,9.0,16.7,.539,.526,7.4,8.3,.900,1.3,4.0,5.3,4.6,1.4,0.4,3.2,2.4,32.1
Malik Beasley,SG,24,MIN,33,32,33.1,7.6,16.7,.455,3.5,8.7,.406,4.1,8.0,.508,.560,1.8,2.2,.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,30,7,17.4,1.9,3.6,.532,0.3,0.9,.333,1.6,2.7,.598,.573,0.5,0.7,.682,0.5,1.8,2.3,1.9,0.7,0.3,1.1,1.6,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dāvis Bertāns,PF,28,WAS,32,3,25.4,3.3,8.5,.388,2.9,7.5,.382,0.4,1.0,.438,.557,1.8,2.1,.853,0.4,2.6,3.0,0.9,0.6,0.2,0.6,2.5,11.3
Patrick Beverley,PG,32,LAC,29,29,23.8,2.8,6.2,.442,1.7,4.1,.420,1.0,2.1,.484,.580,1.1,1.3,.795,0.9,2.8,3.7,2.1,0.9,0.8,0.9,3.1,8.3
Saddiq Bey,SF,21,DET,36,19,23.2,3.2,8.0,.403,2.2,5.6,.388,1.1,2.4,.437,.538,1.5,1.7,.855,0.5,3.4,3.9,1.1,0.6,0.1,0.6,1.5,10.1
Tyler Bey,SF,22,DAL,5,0,2.8,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,.400,0.4,0.8,.500,0.4,0.4,0.8,0.0,0.0,0.2,0.0,0.4,1.2
Khem Birch,C,28,ORL,38,1,20.0,2.0,4.3,.472,0.1,0.4,.250,1.9,3.9,.497,.485,1.3,1.8,.739,2.5,2.8,5.3,1.0,0.6,0.7,0.6,1.5,5.5
Goga Bitadze,C,21,IND,18,0,8.9,1.4,2.9,.481,0.2,1.0,.167,1.2,1.9,.647,.510,0.7,0.8,.800,0.8,1.2,1.9,0.3,0.2,0.8,0.4,1.5,3.6
Bismack Biyombo,C,28,CHO,35,19,22.0,2.3,4.1,.552,0.0,0.0,.000,2.3,4.1,.556,.552,0.9,1.8,.484,2.1,3.3,5.5,1.4,0.3,1.1,1.0,2.4,5.4
Nemanja Bjelica,PF,32,SAC,21,1,17.7,2.9,6.1,.477,0.7,2.2,.326,2.2,3.9,.561,.535,1.5,1.9,.800,1.0,3.0,4.0,2.1,0.3,0.1,1.1,2.0,8.0
Eric Bledsoe,SG,31,NOP,38,37,29.1,4.3,10.0,.426,1.8,4.9,.373,2.4,5.1,.477,.517,1.5,2.2,.683,0.4,3.0,3.4,3.9,0.7,0.3,1.6,1.6,11.8
Keljin Blevins,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
Bogdan Bogdanović,SG,28,ATL,14,2,22.4,3.0,8.4,.356,1.8,5.8,.309,1.2,2.6,.459,.462,0.9,0.9,.923,0.4,3.1,3.5,2.2,0.4,0.1,1.1,1.9,8.6
Bojan Bogdanović,SF,31,UTA,38,38,30.5,5.1,11.9,.425,2.7,6.7,.396,2.4,5.2,.462,.536,2.7,3.2,.858,0.5,3.4,3.8,1.9,0.5,0.1,1.5,1.6,15.5
Bol Bol,PF,21,DEN,16,2,5.4,0.8,1.5,.500,0.4,0.7,.545,0.4,0.8,.462,.625,0.1,0.1,.500,0.0,0.8,0.8,0.3,0.1,0.3,0.5,0.6,1.9
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,24,7,11.9,0.8,2.0,.367,0.5,1.3,.355,0.3,0.8,.389,.480,0.1,0.2,.750,0.4,1.5,2.0,0.5,0.3,0.2,0.5,1.5,2.1
Devin Booker,SG,24,PHO,33,33,34.0,9.2,18.6,.497,2.0,5.6,.362,7.2,13.0,.555,.551,4.5,5.4,.843,0.2,3.5,3.7,4.6,0.8,0.3,3.5,2.9,25.1
Chris Boucher,C,28,TOR,39,2,24.1,4.9,9.2,.538,1.6,3.8,.432,3.3,5.4,.611,.627,2.6,3.4,.767,1.8,4.6,6.5,1.0,0.6,1.9,0.7,2.8,14.2
Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Bradley,C,23,PHI,15,3,11.9,2.3,3.5,.642,0.0,0.1,.000,2.3,3.5,.654,.642,0.2,0.3,.600,1.7,2.7,4.4,0.7,0.2,0.7,0.1,1.1,4.7
Jarrell Brantley,PF,24,UTA,10,0,2.8,0.4,1.0,.400,0.3,0.7,.429,0.1,0.3,.333,.550,0.0,0.0,,0.2,0.5,0.7,0.0,0.1,0.1,0.1,0.4,1.1
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Mikal Bridges,SF,24,PHO,37,37,32.5,5.0,9.5,.531,1.9,4.4,.421,3.2,5.0,.629,.630,1.9,2.2,.843,1.3,3.6,4.9,2.2,0.7,0.9,0.8,1.5,13.8
Miles Bridges,PF,22,CHO,37,2,26.4,3.7,7.5,.491,1.2,3.3,.374,2.4,4.2,.584,.574,1.1,1.2,.932,1.3,4.5,5.8,2.0,0.7,0.7,1.7,2.3,9.7
Malcolm Brogdon,PG,28,IND,36,36,35.6,8.2,18.1,.453,2.5,6.4,.391,5.7,11.8,.487,.522,2.6,2.9,.886,0.8,4.0,4.7,6.2,1.2,0.2,2.2,2.0,21.5
Dillon Brooks,SF,25,MEM,32,32,29.3,6.1,15.3,.399,1.9,5.8,.332,4.2,9.5,.439,.461,1.8,2.3,.819,0.9,2.1,3.0,2.6,1.3,0.4,2.1,3.4,15.9
Bruce Brown,PG,24,BRK,35,22,21.0,3.5,6.2,.560,0.3,1.0,.257,3.2,5.2,.619,.581,1.1,1.6,.709,1.5,3.0,4.5,1.4,0.7,0.3,0.8,2.1,8.3
Jaylen Brown,SG,24,BOS,35,35,33.8,9.1,18.7,.489,2.3,6.0,.384,6.8,12.6,.538,.551,3.8,5.0,.764,1.1,4.4,5.5,3.9,1.2,0.5,2.8,2.8,24.3
Moses Brown,C,21,OKC,10,1,10.1,1.9,2.9,.655,0.0,0.0,,1.9,2.9,.655,.655,1.3,2.1,.619,1.3,2.7,4.0,0.4,0.3,0.7,0.4,1.6,5.1
Sterling Brown,SG,25,HOU,35,5,23.2,2.8,6.5,.429,1.6,4.2,.388,1.1,2.3,.506,.555,0.5,0.5,.941,0.7,3.5,4.2,1.7,0.9,0.2,0.8,1.9,7.6
Troy Brown Jr.,SF,21,WAS,20,0,13.6,1.5,4.2,.357,0.6,2.2,.273,0.9,2.0,.450,.429,0.5,0.8,.667,0.6,2.5,3.0,0.9,0.2,0.2,0.8,1.4,4.1
Jalen Brunson,PG,24,DAL,33,8,25.1,4.7,8.8,.531,1.3,3.3,.398,3.4,5.6,.609,.604,2.2,2.7,.822,0.2,3.3,3.5,3.4,0.5,0.0,1.2,1.5,12.9
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,34,34,26.4,3.1,7.7,.405,1.8,4.9,.370,1.3,2.9,.464,.521,0.6,0.8,.846,0.3,3.0,3.3,1.3,0.6,0.2,0.7,2.2,8.7
Trey Burke,PG,28,DAL,36,0,16.0,2.7,6.1,.443,1.2,3.1,.384,1.5,3.0,.505,.541,0.8,0.9,.871,0.1,0.8,0.9,1.6,0.6,0.1,0.5,1.2,7.3
Alec Burks,SG,29,NYK,27,3,24.9,3.9,9.5,.409,1.8,4.7,.389,2.1,4.9,.427,.504,1.9,2.2,.850,0.5,3.8,4.3,2.2,0.7,0.2,1.1,1.9,11.5
Jimmy Butler,SF,31,MIA,25,25,33.4,6.8,14.6,.467,0.4,1.7,.209,6.5,12.9,.502,.480,7.4,8.7,.849,1.9,5.5,7.4,8.0,2.2,0.4,2.2,1.2,21.4
Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
Devontae Cacok,PF,24,LAL,4,0,4.3,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.5,.000,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,SG,27,LAL,34,34,26.2,2.9,6.8,.435,1.5,3.8,.395,1.4,3.0,.485,.546,1.2,1.4,.857,0.5,2.0,2.4,1.4,0.8,0.3,1.0,1.6,8.6
Facundo Campazzo,PG,29,DEN,32,1,16.7,1.7,4.2,.400,1.1,2.9,.372,0.6,1.3,.463,.530,0.9,1.2,.811,0.2,0.9,1.1,2.3,0.9,0.2,0.8,1.9,5.4
Vlatko Čančar,PF,23,DEN,21,0,6.1,0.5,1.4,.379,0.1,0.7,.200,0.4,0.7,.571,.431,0.2,0.3,.833,0.2,1.1,1.3,0.3,0.3,0.1,0.4,0.5,1.4
Clint Capela,C,26,ATL,34,34,29.5,6.5,10.9,.597,0.0,0.0,,6.5,10.9,.597,.597,1.8,3.3,.531,5.1,9.2,14.3,0.9,0.7,2.3,1.4,2.3,14.8
Vernon Carey Jr.,C,19,CHO,4,0,2.8,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.3,0.5,.500,0.5,0.8,1.3,0.3,0.0,0.3,0.3,0.0,0.8
Jevon Carter,PG,25,PHO,30,0,9.8,1.0,2.9,.360,0.6,2.0,.305,0.4,0.9,.481,.465,0.1,0.1,1.000,0.1,1.1,1.2,1.2,0.4,0.2,0.2,1.0,2.7
Wendell Carter Jr.,C,21,CHI,26,25,26.0,4.4,8.5,.518,0.3,0.8,.333,4.1,7.7,.538,.534,2.7,3.7,.747,2.2,5.8,8.0,2.2,0.7,0.8,1.7,3.2,11.8
Michael Carter-Williams,SG,29,ORL,20,15,26.7,3.6,8.8,.403,0.5,1.8,.250,3.1,7.0,.443,.429,1.7,2.3,.733,1.6,3.1,4.7,4.4,0.6,0.5,2.4,2.9,9.2
Alex Caruso,PG,26,LAL,30,0,19.5,2.1,4.9,.432,0.9,2.3,.400,1.2,2.5,.461,.527,0.6,0.8,.720,0.6,2.2,2.7,2.4,1.0,0.2,1.1,1.7,5.7
Willie Cauley-Stein,C,27,DAL,33,11,17.3,2.3,3.6,.625,0.0,0.2,.143,2.2,3.4,.655,.629,0.9,1.5,.646,1.2,3.2,4.4,0.8,0.3,0.8,0.5,2.3,5.5
Chris Chiozza,PG,25,BRK,15,0,9.1,1.1,3.1,.362,0.6,1.5,.391,0.5,1.6,.333,.457,0.7,0.9,.769,0.2,0.9,1.1,2.4,0.3,0.3,0.7,0.7,3.5
Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
Gary Clark,SF,26,ORL,33,11,18.9,1.2,3.9,.302,0.9,3.2,.280,0.3,0.7,.409,.419,0.2,0.3,.800,1.0,2.3,3.3,0.9,0.4,0.2,0.5,1.0,3.5
Brandon Clarke,PF,24,MEM,30,16,26.9,5.1,9.9,.520,0.6,1.7,.333,4.6,8.2,.559,.549,1.4,2.0,.672,1.6,4.2,5.8,1.6,1.2,0.8,0.6,1.6,12.2
Jordan Clarkson,SG,28,UTA,38,0,25.8,6.6,14.9,.446,3.2,8.5,.370,3.5,6.3,.548,.552,1.5,1.6,.967,0.9,3.1,4.0,2.2,1.0,0.2,1.7,1.5,17.9
Nicolas Claxton,C,21,BRK,7,0,15.9,3.6,5.4,.658,0.0,0.3,.000,3.6,5.1,.694,.658,1.7,2.7,.632,0.7,2.7,3.4,1.0,0.9,1.4,0.6,1.9,8.9
Amir Coffey,SG,23,LAC,22,0,8.0,1.1,2.3,.490,0.6,1.3,.483,0.5,1.0,.500,.627,0.3,0.6,.538,0.2,0.5,0.8,0.5,0.2,0.0,0.4,0.5,3.2
John Collins,PF,23,ATL,39,39,30.5,6.9,13.1,.528,1.3,3.6,.374,5.6,9.5,.586,.580,2.8,3.3,.844,2.1,5.5,7.7,1.4,0.4,1.0,1.4,3.3,17.9
Mike Conley,PG,33,UTA,31,31,29.5,5.7,12.6,.454,2.8,6.6,.426,2.9,6.0,.484,.565,2.2,2.6,.840,0.9,2.5,3.4,5.6,1.4,0.1,1.9,1.9,16.4
Pat Connaughton,SG,28,MIL,35,0,21.2,2.4,5.4,.441,1.4,3.7,.391,0.9,1.7,.550,.574,0.4,0.5,.824,0.9,3.3,4.2,1.4,0.7,0.4,0.4,1.6,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Cook,PG,27,TOT,18,0,5.4,1.1,2.3,.452,0.5,1.1,.450,0.6,1.2,.455,.560,0.2,0.3,.800,0.1,0.5,0.6,0.6,0.2,0.1,0.2,0.2,2.8
Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Quinn Cook,G,27,CLE,2,0,17.5,3.5,8.0,.438,2.0,3.5,.571,1.5,4.5,.333,.563,0.0,0.0,,1.0,2.0,3.0,2.5,1.0,0.0,0.5,0.5,9.0
Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
Robert Covington,PF,30,POR,36,36,32.2,2.9,7.5,.391,1.9,5.2,.356,1.1,2.3,.470,.515,0.7,0.8,.828,0.8,5.8,6.6,1.8,1.6,1.2,1.2,2.6,8.4
Torrey Craig,SF,30,MIL,18,0,11.2,1.0,2.6,.391,0.4,1.2,.364,0.6,1.3,.417,.478,0.1,0.1,.500,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
Jae Crowder,PF,30,PHO,34,19,27.4,3.4,8.4,.401,2.4,6.3,.376,1.0,2.2,.473,.540,0.9,1.0,.829,0.4,4.6,5.0,2.1,0.8,0.2,0.9,1.8,10.0
Jarrett Culver,SG,21,MIN,19,7,19.8,2.8,6.7,.422,0.4,1.8,.229,2.4,4.9,.495,.453,1.1,1.8,.600,1.6,3.2,4.7,0.8,0.6,0.4,1.2,2.1,7.2
Seth Curry,SG,30,PHI,31,31,29.6,4.5,9.8,.464,2.0,4.5,.436,2.6,5.3,.488,.564,1.7,1.9,.931,0.2,1.9,2.1,2.9,0.9,0.3,1.4,1.7,12.8
Stephen Curry,PG,32,GSW,37,37,34.0,9.7,20.4,.476,4.8,11.6,.411,4.9,8.8,.561,.593,5.2,5.6,.927,0.5,4.9,5.4,6.3,1.3,0.1,3.1,1.8,29.3
Nate Darling,SG,22,CHO,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
Terence Davis,SG,23,TOR,33,4,14.8,2.6,6.3,.413,1.3,3.7,.364,1.3,2.6,.483,.519,0.5,0.5,.889,0.3,1.7,2.0,1.1,0.5,0.2,0.8,1.5,7.0
DeMar DeRozan,PF,31,SAS,30,30,33.9,6.9,14.0,.490,0.6,1.8,.321,6.3,12.2,.515,.511,6.0,6.8,.882,0.7,4.0,4.7,7.3,1.0,0.3,1.7,2.0,20.3
Mamadi Diakite,PF,24,MIL,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0
Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,38,38,26.6,3.9,9.3,.416,1.8,4.9,.378,2.0,4.4,.458,.516,0.7,1.1,.650,1.2,3.8,5.0,2.9,1.1,0.2,1.3,1.4,10.3
Luka Dončić,PG,21,DAL,34,34,35.2,9.9,20.7,.476,2.6,7.6,.349,7.2,13.1,.549,.540,5.9,7.8,.754,0.8,7.6,8.4,9.1,0.9,0.6,4.2,2.1,28.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luguentz Dort,SG,21,OKC,37,37,29.7,4.2,10.9,.386,1.9,5.9,.329,2.2,4.9,.454,.475,2.1,2.7,.780,0.7,2.9,3.6,1.6,0.8,0.3,1.5,2.4,12.4
